source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5538902116852673792 118.57954805562645 -38.16903326803341 -2.426380822136224 1.1665464731110915  16.82822 1157.6702 17.496836 172.98712 16.02247 399.5334 0.660880733649804 0.0594162 4686.3765 1.1312011                   0.0029105629556668 0.006868641321657 0.0046549533349895 118.57954805562645 -38.16903326803341 0.5560909866602829 5538902116852673792 1513.1323234032916 16830.426  1.1523303515656058 1.2841626204600192e-05 1.321826165386228 1.3218390070124326 0.6492670656911244
5538088134642987648 119.06820715949496 -38.44254874440222 -1.950909682957669 1.4659571292156293  19.85803 247.20732 20.753979 8.977235 18.734442 33.4484 0.662845850596107 0.40699023  1.164798                   0.0051847383772714 0.1209754579592421 0.0326793150129517 119.06820715949496 -38.44254874440222 0.8061301405064099 5538088134642987648 1508.6463905607693 2457.0615  1.0102678041046502 6.530927783982652 6.414626138445844 12.945553922428497 0.0074373975524727725
5537734946597062528 118.08006827420458 -38.89421644390121 -2.750873243721057 1.1527299546939636  19.606691 310.065 20.900126 12.506163 18.537132 39.848385 0.7095142697409142 0.28086904  1.0110497                   0.0044557015583109 0.0868609199139166 0.0275075501818947 118.08006827420458 -38.89421644390121 0.3608097225575504 5537734946597062528 1409.414923205363 3560.3782  0.25677191507061126 3.0629022299632718 1.1791511713302416 4.242053401293513 0.3426867896390748
5538965647998913280 117.87253758170108 -37.67341189136148 -2.1133952449430145 1.0450616049969503  20.185465 219.44931 21.227886 8.6476965 19.177595 29.036196 0.7443169564909915 0.3948851  0.9903306                   0.0056630407041443 0.1255830704885851 0.0375830206314593 117.87253758170108 -37.67341189136148 0.8716639539838837 5538965647998913280 1343.5136621291024 2532.3823  2.282424799456495 2.8258081554383394 0.3464001297591871 3.1722082851975264 0.24374614289943475
5538102153419645696 118.77322002455416 -38.69417012034424 -2.2251171223743547 1.079073544614631  20.18811 222.51212 21.315954 9.582318 19.034235 33.77238 0.803970024233131 0.47017592  1.0018457                   0.0056036415080193 0.1133405624168553 0.0323700317413076 118.77322002455416 -38.69417012034424 0.5909788427815746 5538102153419645696 1243.8274685102251 2126.8635  9.178143357397843 1.1657259882891926 0.5560115473124936 1.7217375356016862 0.02771255972616038
5538865863025922816 118.1140130309564 -38.58485959079616 -2.7421358012367643 0.791876888094146  18.668344 539.5853 19.612291 7.6175714 17.693287 37.41932 0.6568376304778102 0.1380595  0.9441802                   0.0034118336040068 0.1425578010543711 0.0292604970224915 118.1140130309564 -38.58485959079616 0.0738373354112955 5538865863025922816 1522.446269213534 7243.2544  1.4771235980667203 2.9005051795547185 0.3374737068567474 3.237978886411466 0.3177979959472162
5538507697111475968 117.82449136924652 -38.46966773821895 -2.407285838192151 0.777867115354404  19.07246 464.74237 20.285646 16.744728 18.074104 89.127594 0.6857814869985609 0.17673747  0.9933196                   0.0036124328233306 0.0649004844362941 0.0127546241549879 117.82449136924652 -38.46966773821895 0.1843414157228223 5538507697111475968 1458.1904279403484 5658.1094  0.05588292666183209 0.009839120817476543 0.4168474560725667 0.42668657689004325 0.9751755056504613
5537713540479287936 118.27881455150968 -39.16355171468937 -1.8151938120737616 1.2237386696363062  20.122238 215.20433 21.056274 9.1827545 19.3121 24.499447 0.6972958104216705 0.4167249  0.9870059                   0.0057484987400249 0.1182693570901899 0.0444776269294637 118.27881455150968 -39.16355171468937 0.6549251701948653 5537713540479287936 1434.111585146736 2399.6648  0.017019569465647574 10.79804673536529 1.9990645489879348 12.797111284353225 0.01222061383139303
5537661936448032640 118.56933422872105 -39.3097339775436 -1.824610141573693 1.283282717153564  20.644773 144.78726 21.23087 7.005545 19.873072 11.9620695 0.7210374058472033 0.6490286  0.9423666                   0.0079890148940112 0.1550075146991403 0.0908435647341407 118.56933422872105 -39.3097339775436 0.8760478825505682 5537661936448032640 1386.890599420458 1540.7642  0.7223256978698307 10.46752962446976 2.8524575211311265 13.319987145600887 0.007161227902036313
5538869058482720256 118.03162962635987 -38.56594887748859 -2.7608464927282803 0.8655453008440617  17.5931 1114.6426 18.30861 87.131546 16.815578 220.78528 0.6049808282478476 0.07123002 4326.992 0.9282003                   0.002922429694255 0.0127694444738693 0.0062021471130059 118.03162962635987 -38.56594887748859 0.0332003277560181 5538869058482720256 1652.944941902062 14039.025  10.262993565976746 3.2536743238757597 0.057909522762606906 3.3115838466383667 0.008784241029560423
5538883425150460928 117.92303016841034 -38.40191031914021 -2.2062794319380856 0.7627726775837261  19.638319 328.3024 20.70461 8.5514 18.630291 38.89092 0.6180510582777091 0.24267828  1.0034174                   0.0043045148081346 0.1269965524649896 0.0281721328652219 117.92303016841034 -38.40191031914021 0.1633659830260807 5538883425150460928 1617.989301380129 4120.6816  7.134357463715333 1.3949474461192863 0.5117396257235224 1.9066870718428088 0.060081710699538785
5538972382509408512 118.2289170851527 -37.8090909637573 -2.179211921343812 0.5971894316201296  20.543423 149.8894 21.193598 8.795714 19.63352 17.643425 0.7469486334693154 0.6332264  0.9582826                   0.0077499207047106 0.1234707592909388 0.0616536707285758 118.2289170851527 -37.8090909637573 0.7396196199333026 5538972382509408512 1338.780145236158 1579.214  2.5055325486111104 1.7603072661229757 2.191002125870632 3.9513093919936075 0.16753008364248811
5537712578406385664 118.27124058116767 -39.22380522825367 -2.1124162201148136 0.7577386680894194  20.36707 171.47202 21.169884 9.870955 19.779251 17.451532 0.7287905066755018 0.6058743  1.015672                   0.0069053744902186 0.1100284034057605 0.0623290651977647 118.27124058116767 -39.22380522825367 0.7114982073517826 5537712578406385664 1372.1364244461208 1650.5074  1.154949252857788 2.8435519717627846 0.5455481614916181 3.3891001332544026 0.33735626948608666
