source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5935973149089708160 254.17095468680188 -52.95312869059809 -4.961559759300903 -5.257692006005922  17.789995 1122.4932 18.47832 120.52444 16.90582 198.05899 0.6207202619210794 0.11206595 4437.495 1.0460516             15.835 0.084 15.124 0.091 14.939 0.135 0.0029201661002254 0.0094306360996891 0.0066584358197015 254.17095468680188 -52.95312869059809 0.4337945160385767 5935973149089708160 1611.0316697332871 8923.317  0.3668279374182489 9.262596757309051 0.1000231200325706 9.362619877341622 0.045240231934137946
5935882027050148864 253.745053510168 -53.00411514255431 -4.393361642594456 -5.675341712492445  17.831453 765.75934 18.251694 39.13498 16.821115 36.81429 0.577854736222855 0.12500304 4258.5337 1.1067824             15.727 0.096 15.184 0.128 15.129 0.138 0.0030987261979507 0.0278833215607174 0.0297334242298417 253.745053510168 -53.00411514255431 0.6836262553756609 5935882027050148864 1730.5387276679526 7999.806  0.024464237083033833 1.4607870158750569 8.122972011874186 9.583759027749243 0.04757037602627949
5935938411391220480 255.0870864946477 -52.92468871704793 -4.88943196954029 -5.325701659378782  17.764776 1145.8519 18.571947 119.96365 16.911327 249.82324 0.5317835995126949 0.10502297 3866.8135 0.99989295             15.74 0.087 15.306 0.134 15.076 0.134 0.002913694268792 0.0094708699275148 0.0057594787677803 255.0870864946477 -52.92468871704793 0.2838226098576575 5935938411391220480 1880.4641604524088 9521.727  1.2375591170920273 6.268447654087441 0.03973660528187308 6.308184259369314 0.10970903727153807
5923915732759354112 255.75682952668603 -53.00642683570811 -4.732312684838574 -5.761743804262047  15.2384 3807.998 15.708989 590.4214 14.593162 1337.3822 0.5216433783098288 0.03108225 5527.654 0.9492508             13.778 0.03 13.373 0.036 13.332 0.044 0.002770032994248 0.003341656191651 0.0038655925706835 255.75682952668603 -53.00642683570811 0.6628312378167368 5923915732759354112 1917.0184873046592 32172.703  1.8105217803777818 1.763298875714424 12.28591529522508 14.049214170939504 0.0032132693686739234
5935918723259736960 254.86265196821475 -52.90992488330152 -4.7825845248648005 -5.327468253729118  18.036333 776.07654 18.606127 93.85195 17.321674 166.01808 0.6864304959127857 0.16587485 4654.657 1.2517371             16.499 0.144 17.113  15.647  0.0030901470664901 0.0119003227756522 0.0075533826605036 254.86265196821475 -52.90992488330152 0.2028447705459166 5935918723259736960 1456.811732512325 6028.6416  2.525220770058951 2.9039547650652775 0.04525558008019512 2.9492103451454725 0.24198616430072242
5935938377031483008 255.0751059239477 -52.93012571917394 -4.791816126308189 -5.387227972963831  16.926334 1834.6587 17.495329 221.22684 16.226992 432.3851 0.5251988847486894 0.0688691 4701.105 1.0204345             15.233 0.061 14.775 0.095 14.649 0.102 0.0028181566831757 0.0056454858973087 0.0045375155913705 255.0751059239477 -52.93012571917394 0.2831055726906974 5935938377031483008 1904.0406006926416 14520.3  1.5946608171888992 3.144180148068173 0.4432799538501692 3.587460101918342 0.26911596165800006
5924284309665520256 256.30593311075387 -52.8997292233861 -4.656705061780878 -5.122797126844936  18.29157 672.4086 18.938784 72.87118 17.538921 182.65935 0.451874525909433 0.17047364 4420.1816 1.0222577             16.459 0.176 15.72  16.758  0.003193592935499 0.015158394225967 0.0070438236305474 256.30593311075387 -52.8997292233861 0.9461320221445532 5924284309665520256 2213.0037049276484 5866.01  10.452273126538103 0.5807763622306638 1.7927847881895431 2.373561150420207 0.012158909317723218
5936065233192982400 253.557288654695 -52.92731169357178 -4.418567500434503 -4.798518116191215  18.11804 901.88153 18.75454 119.15415 17.387848 177.27522 0.5818165613642527 0.13207811 4329.7534 0.98055315             16.387 0.137 15.301  14.987  0.0030068356416379 0.009529645272731 0.0071968188456069 253.557288654695 -52.92731169357178 0.7635703743289645 5936065233192982400 1718.754786998816 7571.277  0.006604249854883346 1.040407077035774 14.42040373237279 15.460810809408564 0.003823773328589705
5935927450633823488 255.29367939752103 -52.92887178999122 -4.402157051822073 -5.1910614611885215 -28.369717 14.316038 4759.2383 14.996543 1211.3619 13.518934 1802.3256 0.5880885229692443 0.019594956 4802.3066 0.9624281             12.397 0.023 11.841 0.024 11.664 0.021 0.0027647484104027 0.0029305957106431 0.0038270906402648 255.29367939752103 -52.92887178999122 0.3815920799264295 5935927450633823488 1700.4242744800133 51033.543 4.925267160352684e-06 0.0012690439822845066 1.306015212227819 0.6747202457540853 1.9807354579819043 0.7390680184427074
5935929134261314176 255.5004073825525 -52.96069127451705 -4.468431826833657 -5.32729999565789  16.55106 2077.2275 17.074604 282.00183 15.8644285 412.3429 0.5438467309967568 0.05597981 5053.4727 1.0155516             15.043 0.055 14.546 0.058 14.459 0.093 0.0028044588211852 0.0047548233107083 0.0046061798631227 255.5004073825525 -52.96069127451705 0.5046139875862252 5935929134261314176 1838.7533527455607 17863.584  0.7165190533568098 0.4184101633324236 0.044714471687461864 0.46312463501988543 0.8814386455304722
5935959680071181568 254.4583605124184 -52.93550155026514 -4.625947419213504 -5.347277640500037  15.047881 4725.361 15.513253 902.61176 14.408754 1258.7308 0.5770910642812422 0.029954776 5280.6133 1.0479416             13.629 0.054 13.268 0.079 13.19 0.059 0.0027648838473381 0.0030384166584624 0.0038765634080413 254.4583605124184 -52.93550155026514 0.2904836393975912 5935959680071181568 1732.828771565687 33383.66  0.02924566817094579 0.28293207224718153 0.1317075976531706 0.41463966990035217 0.9787287678224186
5936079904802863488 253.16899901793863 -52.88589160073494 -4.393235955932114 -5.190579871808516  17.949324 944.1419 18.51244 89.829926 17.19598 155.64575 0.4399943606917401 0.12546761 4433.964 1.0018817             16.485 0.125 16.129  15.476  0.0029856697172643 0.0124044493377073 0.0079337223242302 253.16899901793863 -52.88589160073494 0.9834946280671244 5936079904802863488 2272.756401758975 7970.184  13.06120624459804 1.4630615025721492 0.6807316957342139 2.143793198306363 0.004294385122009964
5935939236025378176 254.9260314875513 -52.900755613419 -4.540121138383022 -5.396698793531094 -29.651249 12.856337 7847.038 13.634147 2283.8965 11.999847 3773.3557 0.6181178842731789 0.014985107  0.89479464             10.789 0.024 10.076 0.025 9.987 0.025 0.0027587920544969 0.0028303784298071 0.0037903192081329 254.9260314875513 -52.900755613419 0.208251079302668 5935939236025378176 1617.8143772297765 66732.92 0.19112627462226253 0.31630634672047075 0.012179993579413278 0.5440453483875768 0.55622534196699 0.8999945715013085
5935942328401854080 254.85518851132167 -52.86544520978043 -4.992943383432017 -5.492087432678739  16.249285 2307.0234 16.906942 360.27917 15.431034 423.03644 0.5052742264567881 0.051590882 5141.263 0.9607868             14.324 0.036 13.685 0.042 13.591 0.051 0.0027952235261954 0.0041069228032456 0.0045684580598075 254.85518851132167 -52.86544520978043 0.1590261541170443 5935942328401854080 1979.1233109443424 19383.27  3.0331249821233617 10.747311263798387 2.133844962932182 12.88115622673057 0.0031363688753510096
5936064133681185280 253.6579948651088 -52.97969063685756 -4.376987101060899 -5.366714872398617  16.074877 1991.3156 16.555567 347.57446 15.396456 565.5639 0.7526214277075577 0.057972755 4935.8154 1.3044262             14.611 0.045 14.261 0.065 14.093 0.061 0.0028087490641145 0.0041884210930553 0.0042390013249274 253.6579948651088 -52.97969063685756 0.7224534754293968 5936064133681185280 1328.6892495818825 17249.482  5.789350616026005 1.7720089653409927 0.2603813954761747 2.0323903608171676 0.09833067225946648
5935962703728185600 254.41250812494343 -52.90677682447435 -4.696852323610222 -5.293364777063127  17.98491 1002.7198 18.736872 102.79474 17.157335 218.69565 0.7748183647412724 0.12660165 3994.765 1.0263615             16.147 0.093 15.539 0.148 15.405 0.198 0.0029604435950554 0.0109244966627743 0.0062394687597461 254.41250812494343 -52.90677682447435 0.2894673305365393 5935962703728185600 1290.6250619574823 7898.7915  7.016326861792134 1.1289632789002777 0.00209916843851399 1.1310624473387918 0.08632592040732295
5935975210659025408 254.19790887303503 -52.87900563837457 -4.270840827767859 -5.09104599983112  19.028563 521.7276 20.355705 22.06678 17.900318 85.34167 0.7840622133704954 0.24478501  0.9854091             16.361 0.126 15.425  15.322 0.167 0.0034529000101998 0.0492813432995271 0.0132717304480116 254.19790887303503 -52.87900563837457 0.3834147943969938 5935975210659025408 1275.4089955454424 4085.2175  7.5397743345363635 4.517786395567859 2.495342872204581 7.01312926777244 0.005724286013996988
5923919198763012480 255.62353011197104 -53.00629447452828 -4.536429427985526 -5.424830484530429  18.070793 495.54318 18.709948 80.61332 17.230227 170.97005 0.6826300037810105 0.14569129 4120.0186 1.1750575             15.23  15.583 0.142 14.714  0.0035202670441992 0.0137544214053911 0.0073899866445061 255.62353011197104 -53.00629447452828 0.5915567405948161 5923919198763012480 1464.9224242431665 6863.8286  2.363518787622741 0.019041166966938944 0.9041545065727375 0.9231956735396765 0.5110399851210854
5924277987453868288 256.23887799813656 -52.97583773680686 -4.080170407687558 -5.127557665967546  19.43063 250.86368     0.6381970742288835 0.5809973  1.0167513             15.744 0.083 15.199 0.119 15.111 0.15 0.0051306248663387   256.23887799813656 -52.97583773680686 0.9242019546717708 5924277987453868288 1566.9141091069296 1721.1785  0.7867556670908846 12.619409944222774 1.6974385494344777 14.316848493657252 0.004491089079314836
