source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5344014501157940352 177.02965598233314 -55.38645368185247 -6.484005378048775 1.892707355364109  19.74121 329.1884 20.426935 17.313185 18.91233 47.882088 0.3693899540482633 0.3584021  1.0579888                   0.0042976801163884 0.0627735638934254 0.0229880120082644 177.02965598233314 -55.38645368185247 0.4555019525888926 5344014501157940352 2707.166204821432 2790.1624  1.2570091559619467 0.1516559313994924 0.04583881610913589 0.1974947475086283 0.8346688051254496
5343754539683526784 178.18671350220055 -55.89712460683654 -6.287818041633907 2.0898543351276198  19.860579 319.60217 20.564095 19.192741 19.078445 40.25037 0.3461892120068481 0.36613986  1.1142013                   0.0043740611328007 0.0566389141538301 0.0272380406767511 178.18671350220055 -55.89712460683654 0.373716352868115 5343754539683526784 2888.5937669837563 2731.1968  2.972623138991145 5.298392728459434 5.125958540971584 10.424351269431018 0.009490505875286048
5343959254995888128 177.8012878661488 -55.40674978321112 -6.3087872628612045 1.9844576533674487  20.08331 269.70523 21.0393 12.755608 19.237991 29.43896 0.5601709468589067 0.3856329  1.1009151                   0.0048782751051962 0.0851640631378845 0.037074071260494 177.8012878661488 -55.40674978321112 0.2829990973906912 5343959254995888128 1785.1693409081342 2593.1396  3.7754297895973403 4.399171319409542 1.3645291668615678 5.7637004862711105 0.048949387331372246
5343974270198645376 177.26617288816388 -55.34163684076208 -6.406837768539716 1.9274807298131396  19.619223 356.2642 20.488253 18.629736 18.766838 41.926136 0.4170465145555594 0.3459046  1.0096135                   0.0041084554712846 0.0583464941349137 0.0261707379834162 177.26617288816388 -55.34163684076208 0.3993031376817488 5343974270198645376 2397.8140689311017 2890.9707  0.008657885538705312 1.3033513388769107 0.3314048568345311 1.6347561957114418 0.8009689916483415
5343845386826355456 177.61707580948908 -55.99165422251652 -6.568766975564648 1.5144517105961406  19.908981 311.24872 20.42959 15.888842 19.24748 30.074335 0.4596211311289898 0.34770674  1.0126129                   0.0044452435189309 0.0683901912178464 0.0362990394668472 177.61707580948908 -55.99165422251652 0.3156739557103128 5343845386826355456 2175.70501500584 2875.987  0.41618063258773985 0.1908014300599049 13.831315024923393 14.022116454983298 0.006019916299090386
5343849303839154048 178.0202179338587 -55.88542820763871 -6.266316354472556 2.003735467187732  20.451641 174.18935 21.163546 12.095527 19.773548 12.020127 0.6597997377650272 0.6197092  0.9940848                   0.0068149160662199 0.0898068036958441 0.0904055472962211 178.0202179338587 -55.88542820763871 0.2948499492638581 5343849303839154048 1515.611393522753 1613.66  8.059404047802605 6.307219244529977 1.8730212123817647 8.180240456911742 0.002713890843040296
5343762030123128320 178.3429226088797 -55.69856588348985 -6.895230308071217 1.7517195708175142  19.748917 289.56732     0.4273696364624842 0.3439397  1.0608293                   0.004653023868134   178.3429226088797 -55.69856588348985 0.3911105424768067 5343762030123128320 2339.8948233136416 2907.4863  0.009889103687404616 13.097922255904631 1.5672733840501278 14.66519563995476 0.005424801996760099
5343834902820355200 177.17037876771087 -56.0402322601184 -6.640377468500149 1.941025348671487  19.127016 508.9388 19.783531 30.19968 18.423498 77.85425 0.4155968146798248 0.21335115  1.0549934                   0.0034846665721116 0.0360600182797187 0.0144487987841816 177.17037876771087 -56.0402322601184 0.4525463963167568 5343834902820355200 2406.1782108950915 4687.109  0.014603651608944375 1.2878901566931986 0.5133956226810773 1.8012857793742758 0.7695740353931617
5343758147469620864 178.12543420140537 -55.71304439817349 -6.650774052745213 2.1004380653115104  20.48025 184.71869 20.793644 11.567309 19.483328 19.344345 0.5960218705422892 0.53843194  0.9866325                   0.0064915415655739 0.0939039292022809 0.0562539020992134 178.12543420140537 -55.71304439817349 0.2703189403980282 5343758147469620864 1677.7907815532878 1857.245  5.289603598003554 1.5281811241742163 5.6363929652720826 7.164574089446299 0.014274899864748704
5343852533653759360 177.6341675299132 -55.85536935892322 -6.728499951900176 1.674490149809995  20.099827 240.1555 20.710287 11.936346 19.311674 31.62055 0.3850897754666645 0.44824117  0.98049843                   0.0052944285415886 0.0910033002123529 0.0345437815538635 177.6341675299132 -55.85536935892322 0.1790678098696237 5343852533653759360 2596.7970683931217 2230.942  0.5690557828421197 3.9754465843623716 4.222814118617203 8.198260702979574 0.06718601729901902
